"ABC transporters"	"Acute myeloid leukemia"	"Adherens junction"	"Adipocytokine signaling pathway"	"Aldosterone-regulated sodium reabsorption"	"Allograft rejection"	"Alzheimers disease"	"Amoebiasis"	"Amyotrophic lateral sclerosis (ALS)"	"Antigen processing and presentation"	"Apoptosis"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"Asthma"	"Autoimmune thyroid disease"	"Axon guidance"	"B cell receptor signaling pathway"	"Bacterial invasion of epithelial cells"	"Basal cell carcinoma"	"Basal transcription factors"	"Base excision repair"	"Bladder cancer"	"Calcium signaling pathway"	"Carbohydrate digestion and absorption"	"Cardiac muscle contraction"	"Cell adhesion molecules (CAMs)"	"Cell cycle"	"Chagas disease"	"Chemokine signaling pathway"	"Chronic myeloid leukemia"	"Circadian rhythm - mammal"	"Collecting duct acid secretion"	"Colorectal cancer"	"Complement and coagulation cascades"	"Cytokine-cytokine receptor interaction"	"Cytosolic DNA-sensing pathway"	"Dilated cardiomyopathy"	"DNA replication"	"Dorso-ventral axis formation"	"ECM-receptor interaction"	"Endocytosis"	"Endometrial cancer"	"Epithelial cell signaling in Helicobacter pylori infection"	"ErbB signaling pathway"	"Fc epsilon RI signaling pathway"	"Fc gamma R-mediated phagocytosis"	"Focal adhesion"	"Gap junction"	"Gastric acid secretion"	"Glioma"	"GnRH signaling pathway"	"Graft-versus-host disease"	"Hedgehog signaling pathway"	"Hematopoietic cell lineage"	"Homologous recombination"	"Huntingtons disease"	"Hypertrophic cardiomyopathy (HCM)"	"Insulin signaling pathway"	"Intestinal immune network for IgA production"	"Jak-STAT signaling pathway"	"Leishmaniasis"	"Leukocyte transendothelial migration"	"Long-term depression"	"Long-term potentiation"	"Lysosome"	"Malaria"	"MAPK signaling pathway"	"Maturity onset diabetes of the young"	"Melanogenesis"	"Melanoma"	"Mismatch repair"	"mTOR signaling pathway"	"Natural killer cell mediated cytotoxicity"	"Neuroactive ligand-receptor interaction"	"Neurotrophin signaling pathway"	"NOD-like receptor signaling pathway"	"Non-homologous end-joining"	"Non-small cell lung cancer"	"Notch signaling pathway"	"Nucleotide excision repair"	"Olfactory transduction"	"Oocyte meiosis"	"p53 signaling pathway"	"Pancreatic cancer"	"Pancreatic secretion"	"Parkinsons disease"	"Pathogenic Escherichia coli infection"	"Pathways in cancer"	"Peroxisome"	"Phagosome"	"Phosphatidylinositol signaling system"	"Phototransduction"	"PPAR signaling pathway"	"Primary immunodeficiency"	"Prion diseases"	"Progesterone-mediated oocyte maturation"	"Prostate cancer"	"Proteasome"	"Protein export"	"Protein processing in endoplasmic reticulum"	"Proximal tubule bicarbonate reclamation"	"Regulation of actin cytoskeleton"	"Regulation of autophagy"	"Renal cell carcinoma"	"Renin-angiotensin system"	"Ribosome"	"RIG-I-like receptor signaling pathway"	"RNA degradation"	"RNA polymerase"	"Salivary secretion"	"Shigellosis"	"Small cell lung cancer"	"SNARE interactions in vesicular transport"	"Spliceosome"	"Systemic lupus erythematosus"	"T cell receptor signaling pathway"	"Taste transduction"	"TGF-beta signaling pathway"	"Thyroid cancer"	"Tight junction"	"Toll-like receptor signaling pathway"	"Toxoplasmosis"	"Type I diabetes mellitus"	"Type II diabetes mellitus"	"Ubiquitin mediated proteolysis"	"Vascular smooth muscle contraction"	"Vasopressin-regulated water reabsorption"	"VEGF signaling pathway"	"Vibrio cholerae infection"	"Viral myocarditis"	"Wnt signaling pathway"
"ABC transporters"	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Acute myeloid leukemia"	1	0	1	1	1	1	0.1	1	0.8	1	0.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9	1	1	0.7	1	1	1	1	1	1	1	1	0.7	1	0.6	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6	1	0.9	1	1	1	1	1	1	1	1	1	0.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1
"Adherens junction"	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.4	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0.5	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.3	1	1	0.1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	0	1	1	1	0.3	1	1	1	1	0	1	1	1	1	1	1	1	1	0.5	0.7	1
"Adipocytokine signaling pathway"	1	0.7	1	0	1	1	0.3	1	0.6	1	0.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6	1	1	1	1	1	1	1	1	0.4	1	0.9	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	0.5	1	1	1	1	1	1	1	1	1	0.9	1	1	1	1	0.8	1	1	0.7	1	1	1	1	1	1	1	1	1	0.6	1	1	1	1	1	1	1	1	0.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7	1	1	1	1	1	1	1	1	1	0.8	1	1	1	1	1	0.7	1	1	1
"Aldosterone-regulated sodium reabsorption"	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Allograft rejection"	1	1	1	1	1	0	0.4	1	1	1	0.7	1	1	0.8	1	1	1	1	1	1	1	1	1	1	1	1	0.7	1	1	1	1	1	1	0.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.6	1	1	1	1	1	0.7	1	1	1	1	1	1	1	1	1	0.4	1	1	1	1	0.6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Alzheimers disease"	1	1	1	1	1	1	0	1	0.8	1	0.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7	1	1	1	0.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.2	1	1	1	1	1	1	1	1	1	0.4	1	1	1	1	1	1	1	1	1
"Amoebiasis"	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.2	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0.5	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0.2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0.4	0.6	1
"Amyotrophic lateral sclerosis (ALS)"	1	1	1	1	1	1	1	1	0	1	0.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7	1	1	1	1	1	1	1	1	0.2	1	1	1	0.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7	0.9	1	1	1	0.5	1	1	1	1	1	1	0.8	1	0.6	1	1	0.3	1	1	1	1	1	1	1	1	1	1	1	0.6	1	1	1	1	1	1	1	1	1	0.8	1	1	1	1	1	1	1	1	1
"Antigen processing and presentation"	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
