"Name"	"No_of_Genes"	"Sig_Direct"	"Sig_Combi"	"p_Hyper"	"p_Hyper_FWER"	"p_PathNet"	"p_PathNet_FWER"
"1"	"MAPK signaling pathway"	265	93	133	0.0810287020421512	1	2.70800205896467e-10	3.52040267665408e-08
"2"	"Regulation of actin cytoskeleton"	210	65	110	0.539126051415814	1	4.40282683565111e-10	5.72367488634644e-08
"3"	"Melanoma"	71	26	47	0.184628822865033	1	3.41430257045497e-09	4.43859334159146e-07
"4"	"Alzheimers disease"	156	68	84	0.000514601503203509	0.0668981954164562	1.06558869544127e-08	1.38526530407365e-06
"5"	"VEGF signaling pathway"	73	34	47	0.003574825767093	0.46472734972209	1.32273043241992e-08	1.71954956214589e-06
"6"	"Phosphatidylinositol signaling syst"	78	30	49	0.0973283722403278	1	2.12837925108278e-08	2.76689302640762e-06
"7"	"Shigellosis"	60	26	39	0.0290430799523187	1	1.60808455778305e-07	2.09050992511797e-05
"8"	"Oocyte meiosis"	110	48	61	0.00323307714710507	0.420300029123659	2.98684290121853e-07	3.88289577158409e-05
"9"	"Pathways in cancer"	323	113	143	0.0637367777602378	1	1.59636288102109e-06	0.000207527174532742
"10"	"Glioma"	65	27	39	0.046237192869445	1	3.22707451332895e-06	0.000419519686732763
"11"	"Long-term potentiation"	70	29	41	0.0412397899675063	1	4.29369937162882e-06	0.000558180918311746
"12"	"Cell cycle"	122	50	63	0.0116715683835979	1	5.14370339012931e-06	0.00066868144071681
"13"	"Progesterone-mediated oocyte matura"	85	38	47	0.00512270063709583	0.665951082822458	7.80304261920574e-06	0.00101439554049675
"14"	"ErbB signaling pathway"	86	35	47	0.0351634727063082	1	1.19187078645299e-05	0.00154943202238889
"15"	"GnRH signaling pathway"	98	36	52	0.131606360784313	1	1.27815541280151e-05	0.00166160203664196
"16"	"Gap junction"	88	31	47	0.227604433242464	1	2.67030726368907e-05	0.00347139944279579
"17"	"Pathogenic Escherichia coli infecti"	52	22	31	0.0556912826033203	1	3.98592974189139e-05	0.00518170866445881
"18"	"Proteasome"	44	27	27	2.92273270516933e-05	0.00379955251672013	6.19259514215663e-05	0.00805037368480362
"19"	"Neurotrophin signaling pathway"	125	50	61	0.0193829788612088	1	6.79356136150947e-05	0.0088316297699623
"20"	"Fc gamma R-mediated phagocytosis"	92	36	47	0.0589070331180086	1	0.000115476504828559	0.0150119456277127
"21"	"Endocytosis"	200	75	89	0.0272153387492898	1	0.000133873140535099	0.0174035082695629
"22"	"Focal adhesion"	198	57	88	0.782194325051634	1	0.000154106967485666	0.0200339057731366
"23"	"Fc epsilon RI signaling pathway"	76	33	40	0.0145741367320935	1	0.000161681210312343	0.0210185573406045
"24"	"Bacterial invasion of epithelial ce"	70	24	37	0.318193034418692	1	0.000252761045098019	0.0328589358627425
"25"	"Adherens junction"	73	34	38	0.003574825767093	0.46472734972209	0.000315416547173502	0.0410041511325552
"26"	"Ubiquitin mediated proteolysis"	134	59	62	0.000879525660628367	0.114338335881688	0.000396738974471673	0.0515760666813175
"27"	"Spliceosome"	125	58	58	0.000183117019954814	0.0238052125941258	0.000554597995064729	0.0720977393584147
"28"	"Epithelial cell signaling in Helico"	68	28	35	0.048010635508284	1	0.000709429191295054	0.092225794868357
"29"	"Bladder cancer"	42	13	24	0.563605079817275	1	0.000714107801676035	0.0928340142178846
"30"	"Wnt signaling pathway"	147	47	66	0.433762911654353	1	0.000731108962707362	0.0950441651519571
"31"	"Parkinsons disease"	111	54	52	6.37898751998453e-05	0.00829268377597989	0.00080334461750939	0.104434800276221
"32"	"Huntingtons disease"	170	71	74	0.00165074490339181	0.214596837440935	0.0010684809443464	0.138902522765031
"33"	"Renal cell carcinoma"	70	26	35	0.162874771318806	1	0.00139258409471635	0.181035932313125
"34"	"Arrhythmogenic right ventricular ca"	73	18	36	0.9085855395623	1	0.00164000103830059	0.213200134979077
"35"	"Axon guidance"	128	50	57	0.0307594401186537	1	0.00208668552899953	0.27126911876994
"36"	"Prostate cancer"	89	33	42	0.130325253967925	1	0.00209354799001728	0.272161238702247
"37"	"B cell receptor signaling pathway"	74	30	36	0.0512545964911676	1	0.00222161862074532	0.288810420696892
"38"	"Base excision repair"	33	19	19	0.00137351371738829	0.178556783260478	0.00226402574180241	0.294323346434313
"39"	"Long-term depression"	67	26	33	0.106815111245707	1	0.00259538069888092	0.337399490854519
"40"	"Pancreatic cancer"	70	27	34	0.108356323033364	1	0.0030144661715896	0.391880602306648
"41"	"T cell receptor signaling pathway"	107	43	48	0.0264815548341439	1	0.00382111426067195	0.496744853887354
"42"	"DNA replication"	36	19	19	0.005229481825652	0.67983263733476	0.00823605332328298	1
"43"	"mTOR signaling pathway"	51	21	25	0.0798692698121473	1	0.00893473196791474	1
"44"	"Non-small cell lung cancer"	54	26	26	0.0060035562929262	0.780462318080406	0.0103172595740038	1
"45"	"Nucleotide excision repair"	44	22	22	0.00639580637491018	0.831454828738323	0.0104153863640341	1
"46"	"Endometrial cancer"	52	19	25	0.235907542674764	1	0.0120508831715159	1
"47"	"Hypertrophic cardiomyopathy (HCM)"	82	20	36	0.927224451661539	1	0.0168269899734387	1
"48"	"NOD-like receptor signaling pathway"	62	22	28	0.263459750336489	1	0.0218073780374979	1
"49"	"Acute myeloid leukemia"	57	25	26	0.0272737668939549	1	0.0230868128531314	1
"50"	"Basal transcription factors"	34	17	17	0.0157848948386207	1	0.0231326849596059	1
"51"	"Phagosome"	150	48	60	0.429569913457739	1	0.0250478482282015	1
"52"	"Small cell lung cancer"	84	26	36	0.549179870938557	1	0.0253271082437459	1
"53"	"Notch signaling pathway"	47	16	22	0.37995968019114	1	0.0254536585101377	1
"54"	"Amyotrophic lateral sclerosis (ALS)"	53	17	24	0.487198735343175	1	0.0312198253919873	1
"55"	"Protein export"	23	13	12	0.00972747488218268	1	0.0370528195056119	1
"56"	"Dilated cardiomyopathy"	89	20	37	0.973073647981741	1	0.038627896737569	1
"57"	"Chronic myeloid leukemia"	73	26	31	0.232339347882184	1	0.0413073308693917	1
"58"	"Calcium signaling pathway"	177	53	67	0.655146710346922	1	0.0616670022700229	1
"59"	"Colorectal cancer"	62	23	26	0.183344486435204	1	0.0677236744620965	1
"60"	"Melanogenesis"	99	30	39	0.60229547513529	1	0.0774756456434061	1
"61"	"Tight junction"	131	44	50	0.290839546895992	1	0.0849335241596034	1
"62"	"Dorso-ventral axis formation"	23	12	11	0.0277158912043048	1	0.0864120120935257	1
"63"	"Lysosome"	121	46	46	0.0585001397800333	1	0.101039913876856	1
"64"	"Vibrio cholerae infection"	54	25	22	0.0127794290647974	1	0.116393687231696	1
"65"	"Type II diabetes mellitus"	46	18	19	0.151250519630268	1	0.123160896527296	1
"66"	"Chagas disease"	101	35	38	0.244683270286391	1	0.14378339741088	1
"67"	"Insulin signaling pathway"	136	51	50	0.0609679182306698	1	0.145848053341161	1
"68"	"Aldosterone-regulated sodium reabso"	42	18	17	0.070054285761366	1	0.162735039168655	1
"69"	"Thyroid cancer"	29	12	12	0.157137338315211	1	0.193917621007089	1
"70"	"Adipocytokine signaling pathway"	66	24	25	0.208160103696232	1	0.195015345785236	1
"71"	"Gastric acid secretion"	73	24	27	0.409781070548958	1	0.22500042089148	1
"72"	"SNARE interactions in vesicular tra"	36	15	14	0.116048635538312	1	0.24541707492312	1
"73"	"Vasopressin-regulated water reabsor"	43	14	16	0.471986998864167	1	0.291191590927529	1
"74"	"Mismatch repair"	23	9	9	0.264030840828616	1	0.306998011308037	1
"75"	"Toll-like receptor signaling pathwa"	100	34	35	0.292506587882881	1	0.308983273175153	1
"76"	"Leishmaniasis"	71	20	25	0.741702859629844	1	0.335701467584067	1
"77"	"Collecting duct acid secretion"	27	10	10	0.313530193010765	1	0.363374686082786	1
"78"	"Apoptosis"	87	30	30	0.276839558208289	1	0.36391444638124	1
"79"	"Regulation of autophagy"	33	12	12	0.311544945252307	1	0.366569720927093	1
"80"	"Leukocyte transendothelial migratio"	115	33	39	0.741438078718581	1	0.382646242319458	1
"81"	"RNA polymerase"	28	10	10	0.362084407662308	1	0.415100795511215	1
"82"	"Chemokine signaling pathway"	183	55	60	0.644437575049692	1	0.464214418807266	1
"83"	"Toxoplasmosis"	129	37	42	0.751848190067722	1	0.502553661295953	1
"84"	"p53 signaling pathway"	68	22	22	0.452793169333246	1	0.538086831246834	1
"85"	"Salivary secretion"	84	29	27	0.27884611496208	1	0.549248139450607	1
"86"	"Cardiac muscle contraction"	72	26	23	0.207814899664592	1	0.566274524240191	1
"87"	"RNA degradation"	57	18	18	0.51545297924752	1	0.592599957378583	1
"88"	"Non-homologous end-joining"	13	4	4	0.611763862277104	1	0.647028067900932	1
"89"	"Protein processing in endoplasmic r"	164	62	51	0.0356479516350038	1	0.654247637797402	1
"90"	"Ribosome"	85	26	26	0.577982068849515	1	0.668360149795034	1
"91"	"Carbohydrate digestion and absorpti"	38	16	11	0.098102791963118	1	0.724649448451421	1
"92"	"Homologous recombination"	28	8	8	0.679991422432774	1	0.726827811563647	1
"93"	"TGF-beta signaling pathway"	82	26	24	0.490109139764035	1	0.756052808723441	1
