"ABC transporters"	"Acute myeloid leukemia"	"Adherens junction"	"Adipocytokine signaling pathway"	"Aldosterone-regulated sodium reabsorption"	"Allograft rejection"	"Alzheimers disease"	"Amoebiasis"	"Amyotrophic lateral sclerosis (ALS)"	"Antigen processing and presentation"	"Apoptosis"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"Asthma"	"Autoimmune thyroid disease"	"Axon guidance"	"B cell receptor signaling pathway"	"Bacterial invasion of epithelial cells"	"Basal cell carcinoma"	"Basal transcription factors"	"Base excision repair"	"Bladder cancer"	"Calcium signaling pathway"	"Carbohydrate digestion and absorption"	"Cardiac muscle contraction"	"Cell adhesion molecules (CAMs)"	"Cell cycle"	"Chagas disease"	"Chemokine signaling pathway"	"Chronic myeloid leukemia"	"Circadian rhythm - mammal"	"Collecting duct acid secretion"	"Colorectal cancer"	"Complement and coagulation cascades"	"Cytokine-cytokine receptor interaction"	"Cytosolic DNA-sensing pathway"	"Dilated cardiomyopathy"	"DNA replication"	"Dorso-ventral axis formation"	"ECM-receptor interaction"	"Endocytosis"	"Endometrial cancer"	"Epithelial cell signaling in Helicobacter pylori infection"	"ErbB signaling pathway"	"Fc epsilon RI signaling pathway"	"Fc gamma R-mediated phagocytosis"	"Focal adhesion"	"Gap junction"	"Gastric acid secretion"	"Glioma"	"GnRH signaling pathway"	"Graft-versus-host disease"	"Hedgehog signaling pathway"	"Hematopoietic cell lineage"	"Homologous recombination"	"Huntingtons disease"	"Hypertrophic cardiomyopathy (HCM)"	"Insulin signaling pathway"	"Intestinal immune network for IgA production"	"Jak-STAT signaling pathway"	"Leishmaniasis"	"Leukocyte transendothelial migration"	"Long-term depression"	"Long-term potentiation"	"Lysosome"	"Malaria"	"MAPK signaling pathway"	"Maturity onset diabetes of the young"	"Melanogenesis"	"Melanoma"	"Mismatch repair"	"mTOR signaling pathway"	"Natural killer cell mediated cytotoxicity"	"Neuroactive ligand-receptor interaction"	"Neurotrophin signaling pathway"	"NOD-like receptor signaling pathway"	"Non-homologous end-joining"	"Non-small cell lung cancer"	"Notch signaling pathway"	"Nucleotide excision repair"	"Olfactory transduction"	"Oocyte meiosis"	"p53 signaling pathway"	"Pancreatic cancer"	"Pancreatic secretion"	"Parkinsons disease"	"Pathogenic Escherichia coli infection"	"Pathways in cancer"	"Peroxisome"	"Phagosome"	"Phosphatidylinositol signaling system"	"Phototransduction"	"PPAR signaling pathway"	"Primary immunodeficiency"	"Prion diseases"	"Progesterone-mediated oocyte maturation"	"Prostate cancer"	"Proteasome"	"Protein export"	"Protein processing in endoplasmic reticulum"	"Proximal tubule bicarbonate reclamation"	"Regulation of actin cytoskeleton"	"Regulation of autophagy"	"Renal cell carcinoma"	"Renin-angiotensin system"	"Ribosome"	"RIG-I-like receptor signaling pathway"	"RNA degradation"	"RNA polymerase"	"Salivary secretion"	"Shigellosis"	"Small cell lung cancer"	"SNARE interactions in vesicular transport"	"Spliceosome"	"Systemic lupus erythematosus"	"T cell receptor signaling pathway"	"Taste transduction"	"TGF-beta signaling pathway"	"Thyroid cancer"	"Tight junction"	"Toll-like receptor signaling pathway"	"Toxoplasmosis"	"Type I diabetes mellitus"	"Type II diabetes mellitus"	"Ubiquitin mediated proteolysis"	"Vascular smooth muscle contraction"	"Vasopressin-regulated water reabsorption"	"VEGF signaling pathway"	"Vibrio cholerae infection"	"Viral myocarditis"	"Wnt signaling pathway"
"ABC transporters"	0	1	1	1	1	1	1	1	1	0.184120895854887	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.524627999100945	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.338640376875022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.638738265487824	1	1	1	0.00704258897963817	0.471846772427654	1	1	1	0.0465075372695907	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.375537832596071	1	1	1	1	0.429708571358219	1	1
"Acute myeloid leukemia"	1	0	0.000462894867605228	1.28446844385162e-08	3.29129436975231e-12	1	0.398281245199697	1.00600015603146e-06	0.516102355038034	1	4.49698684126961e-16	0.00338446793032601	1	1	0.0293003185730683	4.53422164099869e-34	4.69081699288773e-06	0.00616379211978693	1	1	9.54859331217521e-14	1	4.377605647636e-12	1	1	0.249329330120681	4.18273714069207e-16	7.66193140720972e-25	9.23870753314742e-51	1	1	6.35530741749451e-33	1	0.707362083425727	0.000860036078867805	1	1	2.29756576539226e-08	1	0.0569464445974864	1.5286258059645e-48	0.00207367184344549	2.68691717931123e-41	1.19028633663865e-24	1.76165068040482e-15	2.72592727264347e-15	1.95350329455906e-08	1	3.40401952312767e-34	6.66241562279208e-08	1	1	0.118290110423679	1	1	1	1.00829596712263e-30	1	2.72284900929932e-15	0.017200634244088	0.000158836576084996	1.99163850189552e-08	1.99163850189552e-08	1	1	1.10778214466311e-11	1	3.37258166733606e-11	1.5048717396216e-27	1	4.32559829311724e-22	1.18030946780892e-17	1	3.96316464982054e-27	1.59194297296094e-05	1	6.92249354272517e-37	1	1	1	0.199263835071358	0.612001184574338	3.65371694409149e-33	1	1	1	2.77994531641427e-58	1	1	7.76230729851871e-06	1	0.612001184574338	0.380207099095849	0.00115691286896687	4.99863183115734e-19	6.12575495291814e-49	1	1	1	1	1.74782095111325e-12	1	1.71350679926859e-29	1	1	0.0025111988404934	1	1	1	1.96894645986812e-05	7.19744880562203e-18	1	1	1	4.06894320850866e-29	1	0.00547770694223975	9.02156243783815e-20	0.00891061140651008	4.94518727341317e-19	1.44414619083014e-16	1	4.2894253177915e-13	0.289955832104523	0.000854489009876275	1	8.14673312009976e-22	1	0.642917965814038	0.00390987307127798
"Adherens junction"	1	0.000462894867605228	0	1	0.0332455496339423	1	0.784031799755289	0.0314680237006502	0.59703938087609	1	1	4.11650609588325e-14	1	1	0.000277974691173684	0.0015240875803941	1.51772632239208e-18	0.00217245705448724	1	1	0.000630064964689859	0.810725198875596	1	1	0.0265018745944991	0.0641590428598931	0.00781070788760311	0.00419762683354686	0.00132328364377545	1	1	1.24205988895213e-15	1	0.667023374992435	1	0.0690998374899219	1	0.00816794498638603	1	0.000566288277856092	1.18171741338143e-12	0.000909505557857957	0.0152006515959315	0.00199470743829286	3.29960214853292e-06	5.3587883294451e-14	0.0173898477139501	0.719763763271316	0.0234538353344961	0.0271815163714539	1	1	1	1	0.827649216177967	0.0546198893096656	0.027353173737702	1	0.490606808850325	0.0356050368114758	2.26324369468315e-14	0.113962633446014	0.0298302526565817	1	0.582894864377658	0.00156666932638796	1	4.48206507246839e-05	0.00016630814487826	1	0.219140385637244	0.00791517663456781	0.991654118000702	0.0607610109510273	0.0864545064667682	1	0.0125847299756543	0.188140721921592	1	1	0.303055322976674	1	6.966663114658e-11	0.513349575997919	1	2.2215768970103e-09	9.00383031772652e-14	1	0.129969933184618	1	1	0.694402089501199	1	0.0206083819337571	0.181307421025394	1.60524531238495e-09	1	1	1	1	2.57265298487316e-14	1	0.000151947538643086	1	1	0.704807607727147	1	1	1	2.08701707870616e-11	1	1	1	0.218109461720486	0.00211824581802722	1	1.16977684359108e-06	1.47183330441983e-08	8.6240764511908e-17	0.0928774918394871	0.396281425356437	1	0.0442456459537651	1	0.312393036965181	1	0.000255563218728821	0.00235439531241029	3.10188541735007e-05	2.31227636071795e-12
"Adipocytokine signaling pathway"	1	1.28446844385162e-08	1	0	0.0248418388193904	0.457371310671135	0.728432203693949	0.210734434229412	0.0451155378584104	0.702635337436743	3.16339395970987e-10	1	0.386525722906442	1	1	9.16227650009774e-09	1	1	1	1	1	1	0.000416943125868925	1	1	1	2.17963580361932e-10	1.92512346513684e-05	9.07500513955842e-08	1	1	0.000299161981979864	1	0.374391677580812	1.68200564973153e-05	0.756950626276268	1	1	0.724811532374787	1	0.043013609333316	4.50584305164167e-08	0.000292909591476728	0.00015983374467697	0.172277250731782	0.0812356300139089	1	1	0.0161285245487156	0.195107800013073	0.489707365623224	1	0.39074735909264	1	0.943604653859758	3.38314189953693e-05	4.51719706094579e-23	1	0.000462588793529987	0.000782345015130866	0.837927355586288	1	1	1	0.179359120909333	3.3015979174803e-05	1	0.791966175285574	0.0911371973975515	1	1.01767255361087e-05	0.618755095775862	0.923966031423805	2.27360429647431e-11	1.10760610774487e-09	1	0.000138158270660374	1	1	1	1	1	2.72100306104524e-10	1	1	1	1.74587724609507e-07	0.00609019707520258	0.914883386509125	1	1	1.14542866451132e-15	0.414101086863167	1	0.0018293614535147	6.14356380890181e-07	1	1	0.244201934981557	0.0463538974244874	1	0.0972346313036951	0.00383039055924459	1	1	1.86187157872925e-11	1	1	1	2.46127120916788e-08	1.7266348223146e-10	1	1	0.888746919827889	3.65950121416342e-10	1	0.729047146280344	0.0090844997088802	0.142955027657432	2.09670900932015e-09	4.89513313709046e-12	0.505155905292399	1.7455598613031e-12	0.883376249587128	0.832781292193849	1	0.106417867141851	1	1	0.400470264560767
"Aldosterone-regulated sodium reabsorption"	1	3.2912943697523e-12	0.0332455496339422	0.0248418388193903	0	1	0.476480519305551	1.78469491352691e-09	1	1	1.18202182277462e-06	1	1	1	0.12170704689564	1.62092238586066e-12	2.74162327749793e-07	1	1	1	0.00700721388240099	0.236587864952865	2.82081538127972e-27	3.51165041641978e-08	1	0.709238177066603	2.55055464933306e-08	9.0748553170431e-08	3.14069988317058e-11	1	1	4.81845796104399e-12	1	1	1	0.586934383168933	1	0.00156959789839296	1	0.864152046500598	1.48133162758586e-14	1	1.43600180029845e-14	1.10171376849732e-13	1.31943429063521e-12	1.38520910961139e-10	0.000171749159821537	1.37024180485811e-12	4.03790707695032e-18	0.0024124878234112	1	1	1	1	1	0.55789970585049	1.02563320078616e-15	1	7.94746863265411e-05	0.0321231512598089	6.29485857209223e-09	3.12105042893076e-06	4.16115027916837e-05	1	1	0.0384973999511438	0.212129911348733	0.000341469404736771	8.14792819722814e-13	1	3.13065232925248e-16	9.29516734181988e-12	1	2.89224232135557e-12	0.115972157757594	1	1.79593218153541e-19	1	1	1	0.0218370733501038	0.138161866527628	1.94742125774729e-11	6.26909065726092e-11	1	0.431562279053842	1.23292922144374e-07	1	1	6.64557533328961e-11	1	0.483851404355024	1	0.042743628614677	4.06532882009565e-13	2.00224166358271e-14	1	1	1	1.82004224299794e-13	3.95740624038828e-07	0.284068764258036	1.94742125774729e-11	1	1	1	1	1	1.34751944615097e-11	0.122212241770665	8.24152437598065e-07	1	1	1	2.42319567648696e-09	0.0126359476640716	0.191790206867945	0.00242887772639553	0.0367036340536478	2.10950864512479e-08	2.91435881784641e-07	0.355801190471954	1.62413386245842e-20	0.738970033652469	0.0044007630060519	1	1.94915943563726e-15	0.0154411116033304	1	0.170455907698522
"Allograft rejection"	1	1	1	0.457371310671135	1	0	0.451066184093298	0.00229677880002675	0.382955995602436	9.28480299857469e-36	0.043965869864704	1	4.83771313728785e-41	5.47999503612802e-71	1	1	1	1	1	1	1	1	1	1	9.597061590008e-35	1	2.87245814804616e-06	1	1	1	1	1	1	2.07556784414168e-06	1	0.569088804966643	1	1	1	0.00205691336681534	1	1	1	0.0334828435334545	1	1	1	1	1	1	6.0875845981595e-67	1	8.68398085861289e-07	1	1	0.540296110584013	1	5.16973822916564e-42	0.000391328334020943	2.31953952767599e-30	1	1	1	1	4.86175430433974e-06	0.438265572355433	1	1	1	1	1	1.75066812082652e-08	1	0.685732975680342	0.431858262268707	1	1	1	1	1	1	0.467260679902917	1	1	1	1	0.807062011800742	1	5.94595987021587e-24	1	1	1	0.0391023772522763	1	1	1	0.354039279997799	1	1	1	1	0.272532304694027	1	1	1	0.0254215303602742	1	1	1	1	1	1	1	7.48595742072655e-27	3.82474177120356e-06	1	0.1779049155888	1	1	0.000259323553877442	9.177525718519e-26	2.30473595869613e-72	0.348099411308123	1	1	1	1	1	1.75281853353245e-45	1
"Alzheimers disease"	1	0.398281245199697	0.784031799755289	0.728432203693949	0.476480519305551	0.451066184093298	0	0.0442636046174755	4.46082398276693e-17	0.953901278243915	4.72962337539636e-13	0.159450716566368	0.710495440220813	0.881899534757075	0.0091189956944044	0.000455762886015065	1	0.881899534757075	1	1	0.476480519305551	6.81946475897837e-16	0.488919532635917	1.10631520874148e-35	1	0.993356955920137	0.000125145215798362	0.580168185302627	0.526962220296642	1	1	0.00836875176340338	1	0.992507482572117	0.886427348121021	0.134180372587751	1	0.244072443169397	1	1	0.0454481989867065	0.479070400693639	0.420172035301934	0.581103776688529	0.881605332005233	0.886208983863413	0.00192732986461575	4.56098316425256e-07	0.00285886311996154	5.61732219633287e-10	0.231584259591544	0.886427348121021	0.662250089245849	1	4.51687559059326e-109	0.101516936988528	0.0337234008439986	1	1	0.307138564194246	1	5.12957630341942e-05	5.59569051415961e-24	1	0.304092564272858	0.00553457292320939	1	2.35263032295892e-05	0.508086750721413	1	0.592189167625099	0.00183905127199777	0.980624524843373	0.00767962471931589	0.0841026957164855	1	0.146433095029903	0.00797626010666491	1	0.99780202354207	1.76023546151277e-07	0.0147269565509211	0.272796288550408	0.00136060475411363	3.15649606682325e-115	1	0.708735916125121	1	0.998072264713816	5.33091807444513e-06	0.000619549457988862	0.931734463314972	1	0.144964494051063	0.848769937221673	0.246654120527375	1	1	0.766511884720989	1	0.998074704016118	1	0.750568231343167	0.481797918164535	1	0.508086750721413	1	1	1.39216832187128e-07	0.704666398776401	0.623149265138387	1	1	0.911537018635481	0.00234809373882941	0.592189167625099	0.631207747416199	0.300983527983127	1	0.188256922903682	0.0661548851258468	0.252031719436437	0.0311538656179121	1	7.22624498562713e-09	1	0.000111437023186514	1	0.153342618685981	0.00434492336625739
"Amoebiasis"	1	1.00600015603145e-06	0.0314680237006502	0.210734434229412	1.7846949135269e-09	0.00229677880002675	0.0442636046174755	0	0.129406366834651	0.562743564639935	7.68312228256644e-13	0.0330707736721817	0.174528209528737	0.734298805709586	0.956519430501532	1.06551311050008e-06	8.05233824418382e-07	1	1	1	0.63599851852549	2.02428530666915e-08	3.57755308326155e-08	1	0.838964866004051	0.589334313924707	4.57959075794826e-33	3.34052946513131e-11	9.13865115632572e-09	1	1	1.31915756473029e-08	0.0795409933216178	0.0013083353011353	0.0425047606149231	8.36016131441739e-06	1	1	2.47068971686603e-23	0.210424736165351	2.3889685516666e-05	0.0216209406860753	6.62077621792774e-07	2.23787620417129e-07	1.14461109107374e-05	9.58424566444072e-32	1.5711500297559e-09	1.01062188818248e-09	2.37159631552818e-07	6.7052438952449e-08	0.0194568071843623	0.0425047606149231	0.000216960760743401	1	0.272720008383969	0.0146938385063396	7.73625710309048e-05	0.113751380870019	1.31032577837314e-05	4.64823917389421e-13	1.50719846703598e-11	4.34562033495322e-06	5.33280704308112e-09	0.947041568242181	7.7643606756173e-11	1.19665848933386e-05	1	7.62126115869935e-08	0.000232809712709354	1	2.3889685516666e-05	8.5531085006677e-08	0.998798543967552	0.000699408144652379	0.00057371718366539	1	3.15055854955647e-08	1	1	0.959456214176907	0.131843479506227	0.810892867021845	5.33280704308112e-09	0.000114179096779997	0.959622562694003	0.162793194340957	8.40706430064277e-18	0.848115323791974	0.00404157488819018	1.89222869580484e-10	1	1	1	1.99667089652726e-10	8.23481257590422e-08	3.82904656973302e-05	0.685183621454453	1	1	1	2.14261290869552e-06	0.568931170832682	5.19495824429574e-07	0.334941477869218	1	0.00627313273970411	1	1	1.26178590440341e-08	0.0638311547882066	1.25688130805444e-27	1	1	0.00010970918282026	1.59249457960429e-07	0.00128071055548453	0.0497906278335664	1	0.0383875227859637	9.90821096337315e-13	2.11241581691175e-27	0.00427703283347271	1.06305414341912e-06	1	5.69066875014296e-08	6.58190793773553e-06	1.52532821448749e-08	4.95027531735183e-06	0.261333412332715	0.00077876270840203
"Amyotrophic lateral sclerosis (ALS)"	1	0.516102355038034	0.59703938087609	0.0451155378584104	1	0.382955995602436	4.46082398276688e-17	0.129406366834651	0	0.616276334070757	4.08644640119062e-20	1	0.32016111325051	1	0.000121098723460669	2.19561770995073e-06	0.587069210048595	0.485731897762763	1	1	0.397743309421387	7.59802267642042e-07	1	1	1	0.790021183329354	0.00134814215816721	0.901827601076491	0.0557475873235875	1	1	4.95391267564663e-07	1	0.624478330408907	0.491951936425149	0.672780035898004	1	1	1	0.919722592490219	0.0235680445821815	0.0001350564194771	0.652086218930634	3.27355428105319e-06	0.684611476523484	0.433524016160588	1	1	0.544711132135722	0.00115721465301564	0.412182777544556	1	0.660513433812092	1	5.08417473144967e-05	0.64345385477898	0.812173715803826	1	0.849820209386229	0.00173258281635471	0.0126737854830231	0.0502922468258325	2.26558940157464e-14	1	0.460095916889709	6.93990620375813e-12	1	1	0.207759612962905	1	1	4.09280663247382e-07	0.0412135198016469	1.65170378349708e-06	8.01254006153188e-05	1	0.0260154954238746	1	1	1	5.01568561137251e-05	1.41135348747778e-05	0.00134952271724229	0.707028959774692	0.0715603262974067	1	0.0047197096350572	0.238709418370336	0.295317169798411	1	1	1	1	0.0648444624514405	0.019461865236865	0.0209793202968603	1	1	0.137285177606159	1	0.93012602170932	1	0.571658565037639	1	1	0.00143873302770245	1	1	0.660513433812092	0.000897417239545747	0.000433418985216585	1	1	0.239886055444848	2.70688631486435e-09	1	0.64345385477898	0.295031226269556	1	2.23036893268351e-05	2.34163818672137e-10	0.426282428716061	0.433207282115753	1	1	0.412182777544556	7.66335416949739e-14	1	0.0018396900044874	5.93411121423552e-05
"Antigen processing and presentation"	0.184120895854887	1	1	0.702635337436743	1	9.28480299857471e-36	0.953901278243915	0.562743564639935	0.616276334070757	0	0.797454527440725	1	1.35571498833321e-22	2.19789501120707e-27	1	1	1	1	1	1	1	1	1	1	5.28302842204791e-21	1	0.282341049705643	1	1	1	1	1	1	0.955619343369058	1	0.811780195428404	1	1	1	5.28865882935359e-05	1	1	1	0.761167559560894	1	1	1	1	1	1	5.55843232767072e-52	1	2.27683928210495e-05	1	0.966463240230623	0.78600872880113	1	6.38395185324707e-17	0.941254795412007	1.42276116557571e-16	1	1	1	0.167931511753002	0.229909050195994	0.198184960940039	1	0.843363631856104	1	1	1	4.85526894817212e-16	1	1	0.0974297579861619	1	1	1	1	1	1	1	1	1	1	1	0.983722011724756	1	6.66697758821204e-23	1	1	1	5.4939256516735e-09	0.127910794789647	0.461815662837489	0.210551308716534	0.0100067260019923	0.350983608660237	3.10202880879811e-05	1	1	0.468061260639079	1	1	1	0.723569038684745	1	1	1	1	1	1	0.0255719202070932	2.20402693824596e-11	0.0423153748164578	1	0.449801104538047	1	1	0.843363631856104	6.6565638767977e-20	1.49243601707151e-33	0.572077831841331	1	1	0.548130107253733	1	1	1.09479928061822e-23	1
